stack,linear,m,k,n,us,gb_s,tflop_s,occupancy,tensor,dram,regs,smem,skip_reason,notes
bitsandbytes-nf4,k_proj,2,2048,256,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,k_proj,4,2048,256,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,k_proj,8,2048,256,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,k_proj,16,2048,256,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,k_proj,32,2048,256,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,k_proj,64,2048,256,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,k_proj,128,2048,256,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,k_proj,256,2048,256,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,v_proj,1,2048,256,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,v_proj,2,2048,256,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,v_proj,4,2048,256,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,v_proj,8,2048,256,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,v_proj,16,2048,256,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,v_proj,32,2048,256,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,v_proj,64,2048,256,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,v_proj,128,2048,256,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,v_proj,256,2048,256,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,o_proj,1,2048,2048,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,o_proj,2,2048,2048,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,o_proj,4,2048,2048,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,o_proj,8,2048,2048,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,o_proj,16,2048,2048,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,o_proj,32,2048,2048,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,o_proj,64,2048,2048,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,o_proj,128,2048,2048,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,o_proj,256,2048,2048,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,gate_proj,1,2048,11008,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,gate_proj,2,2048,11008,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,gate_proj,4,2048,11008,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,gate_proj,8,2048,11008,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,gate_proj,16,2048,11008,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,gate_proj,32,2048,11008,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,gate_proj,64,2048,11008,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,gate_proj,128,2048,11008,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,gate_proj,256,2048,11008,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,up_proj,1,2048,11008,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,up_proj,2,2048,11008,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,up_proj,4,2048,11008,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,up_proj,8,2048,11008,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,up_proj,16,2048,11008,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,up_proj,32,2048,11008,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,up_proj,64,2048,11008,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,up_proj,128,2048,11008,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,up_proj,256,2048,11008,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,down_proj,1,11008,2048,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,down_proj,2,11008,2048,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,down_proj,4,11008,2048,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,down_proj,8,11008,2048,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,down_proj,16,11008,2048,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,down_proj,32,11008,2048,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,down_proj,64,11008,2048,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,down_proj,128,11008,2048,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
bitsandbytes-nf4,down_proj,256,11008,2048,,,,,,,,,SKIP: bitsandbytes NF4: not importable in this interpreter (bitsandbytes). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
gptq-marlin,q_proj,1,2048,2048,,,,,,,,,SKIP: GPTQ + Marlin: not importable in this interpreter (gptqmodel or auto_gptq). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
gptq-marlin,q_proj,2,2048,2048,,,,,,,,,SKIP: GPTQ + Marlin: not importable in this interpreter (gptqmodel or auto_gptq). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
gptq-marlin,q_proj,4,2048,2048,,,,,,,,,SKIP: GPTQ + Marlin: not importable in this interpreter (gptqmodel or auto_gptq). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
gptq-marlin,q_proj,8,2048,2048,,,,,,,,,SKIP: GPTQ + Marlin: not importable in this interpreter (gptqmodel or auto_gptq). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
gptq-marlin,q_proj,16,2048,2048,,,,,,,,,SKIP: GPTQ + Marlin: not importable in this interpreter (gptqmodel or auto_gptq). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
gptq-marlin,q_proj,32,2048,2048,,,,,,,,,SKIP: GPTQ + Marlin: not importable in this interpreter (gptqmodel or auto_gptq). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
gptq-marlin,q_proj,64,2048,2048,,,,,,,,,SKIP: GPTQ + Marlin: not importable in this interpreter (gptqmodel or auto_gptq). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
gptq-marlin,q_proj,128,2048,2048,,,,,,,,,SKIP: GPTQ + Marlin: not importable in this interpreter (gptqmodel or auto_gptq). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
gptq-marlin,q_proj,256,2048,2048,,,,,,,,,SKIP: GPTQ + Marlin: not importable in this interpreter (gptqmodel or auto_gptq). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
gptq-marlin,k_proj,1,2048,256,,,,,,,,,SKIP: GPTQ + Marlin: not importable in this interpreter (gptqmodel or auto_gptq). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
gptq-marlin,k_proj,2,2048,256,,,,,,,,,SKIP: GPTQ + Marlin: not importable in this interpreter (gptqmodel or auto_gptq). Nothing installed from this harness; no borrowed tok/s.,"Qwen2.5-3B GEMM C[M,N]=A[M,K]@B[K,N]. occupancy/tensor/DRAM/regs/smem need ncu on a free 3080. Not gpu.nf4.bench. CPU llama.cpp is not a fill-in."
